DEBUTSEM,MALADIE,TOTALCAS,TOTALDECES
2023-01-16,CHIKUNGUNYA,0.0,0.0
2023-01-23,CHIKUNGUNYA,0.0,0.0
2023-01-30,CHIKUNGUNYA,0.0,0.0
2023-02-01,CHIKUNGUNYA,0.0,0.0
2023-02-13,CHIKUNGUNYA,0.0,0.0
2023-02-20,CHIKUNGUNYA,0.0,0.0
2023-06-02,CHIKUNGUNYA,0.0,0.0
2023-09-01,CHIKUNGUNYA,0.0,0.0
2023-01-02,COQUELUCHE,1.0,0.0
2023-01-16,COQUELUCHE,15.0,0.0
2023-01-23,COQUELUCHE,29.0,0.0
2023-01-29,COQUELUCHE,0.0,0.0
2023-01-30,COQUELUCHE,14.0,0.0
2023-02-01,COQUELUCHE,15.0,0.0
2023-02-06,COQUELUCHE,1.0,0.0
2023-02-13,COQUELUCHE,21.0,0.0
2023-02-20,COQUELUCHE,20.0,0.0
2023-06-02,COQUELUCHE,28.0,0.0
2023-09-01,COQUELUCHE,16.0,0.0
2023-01-02,COVID-19,1.0,0.0
2023-01-09,COVID-19,0.0,0.0
2023-01-16,COVID-19,604.0,0.0
2023-01-17,COVID-19,20.0,0.0
2023-01-23,COVID-19,386.0,0.0
2023-01-29,COVID-19,0.0,0.0
2023-01-30,COVID-19,539.0,0.0
2023-02-01,COVID-19,701.0,1.0
2023-02-06,COVID-19,2.0,0.0
2023-02-13,COVID-19,734.0,1.0
2023-02-20,COVID-19,596.0,0.0
2023-02-23,COVID-19,26.0,0.0
2023-06-02,COVID-19,582.0,0.0
2023-09-01,COVID-19,587.0,0.0
2023-01-02,Choléra,0.0,35.8
2023-01-09,Choléra,0.0,16.1
2023-01-16,Choléra,725.0,17.9
2023-01-23,Choléra,572.0,5.3
2023-01-26,Choléra,1.0,0.0
2023-01-30,Choléra,1075.0,4.0
2023-02-01,Choléra,1191.0,6.0
2023-02-06,Choléra,255.0,1.0
2023-02-13,Choléra,595.0,10.5
2023-02-16,Choléra,12.0,4.0
2023-02-20,Choléra,271.0,23.5
2023-06-02,Choléra,186.0,2.0
2023-09-01,Choléra,688.0,3.0
