Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2022-S01,2022-01-05,1,Q1,COQUELUCHE,3.0,0.0,0.0
2022-S01,2022-01-08,1,Q1,COQUELUCHE,48.0,0.0,0.0
2022-S02,2022-01-14,1,Q1,COQUELUCHE,32.0,0.0,0.0
2022-S02,2022-01-16,1,Q1,COQUELUCHE,1.0,0.0,0.0
2022-S03,2022-01-17,1,Q1,COQUELUCHE,85.0,0.0,0.0
2022-S04,2022-01-24,1,Q1,COQUELUCHE,93.0,0.0,0.0
2022-S04,2022-01-30,1,Q1,COQUELUCHE,2.0,0.0,0.0
2022-S05,2022-01-31,1,Q1,COQUELUCHE,59.0,1.0,1.69
2022-S05,2022-02-03,2,Q1,COQUELUCHE,1.0,0.0,0.0
2022-S05,2022-02-05,2,Q1,COQUELUCHE,68.0,1.0,1.47
2022-S07,2022-02-14,2,Q1,COQUELUCHE,39.0,0.0,0.0
2022-S07,2022-02-20,2,Q1,COQUELUCHE,6.0,0.0,0.0
2022-S08,2022-02-21,2,Q1,COQUELUCHE,62.0,0.0,0.0
2022-S08,2022-02-24,2,Q1,COQUELUCHE,1.0,0.0,0.0
2022-S08,2022-02-27,2,Q1,COQUELUCHE,2.0,0.0,0.0
2022-S09,2022-02-28,2,Q1,COQUELUCHE,51.0,0.0,0.0
2022-S09,2022-03-01,3,Q1,COQUELUCHE,56.0,0.0,0.0
2022-S10,2022-03-07,3,Q1,COQUELUCHE,8.0,0.0,0.0
2022-S10,2022-03-10,3,Q1,COQUELUCHE,14.0,0.0,0.0
2022-S11,2022-03-14,3,Q1,COQUELUCHE,85.0,1.0,1.18
2022-S12,2022-03-21,3,Q1,COQUELUCHE,64.0,0.0,0.0
2022-S13,2022-03-28,3,Q1,COQUELUCHE,80.0,0.0,0.0
2022-S14,2022-04-04,4,Q2,COQUELUCHE,82.0,0.0,0.0
2022-S14,2022-04-07,4,Q2,COQUELUCHE,54.0,0.0,0.0
2022-S14,2022-04-09,4,Q2,COQUELUCHE,10.0,0.0,0.0
2022-S15,2022-04-14,4,Q2,COQUELUCHE,1.0,0.0,0.0
2022-S16,2022-04-18,4,Q2,COQUELUCHE,40.0,0.0,0.0
2022-S17,2022-04-25,4,Q2,COQUELUCHE,58.0,0.0,0.0
2022-S19,2022-05-09,5,Q2,COQUELUCHE,35.0,0.0,0.0
2022-S20,2022-05-16,5,Q2,COQUELUCHE,40.0,0.0,0.0
2022-S20,2022-05-22,5,Q2,COQUELUCHE,1.0,0.0,0.0
2022-S21,2022-05-23,5,Q2,COQUELUCHE,21.0,0.0,0.0
2022-S22,2022-05-30,5,Q2,COQUELUCHE,23.0,0.0,0.0
2022-S23,2022-06-06,6,Q2,COQUELUCHE,38.0,0.0,0.0
2022-S24,2022-06-13,6,Q2,COQUELUCHE,41.0,0.0,0.0
2022-S24,2022-06-16,6,Q2,COQUELUCHE,1.0,0.0,0.0
2022-S25,2022-06-20,6,Q2,COQUELUCHE,44.0,0.0,0.0
2022-S26,2022-06-27,6,Q2,COQUELUCHE,28.0,1.0,3.57
2022-S26,2022-07-02,7,Q3,COQUELUCHE,72.0,1.0,1.39
2022-S26,2022-07-03,7,Q3,COQUELUCHE,82.0,0.0,0.0
2022-S27,2022-07-08,7,Q3,COQUELUCHE,15.0,0.0,0.0
2022-S28,2022-07-11,7,Q3,COQUELUCHE,6.0,0.0,0.0
2022-S28,2022-07-17,7,Q3,COQUELUCHE,7.0,0.0,0.0
2022-S29,2022-07-18,7,Q3,COQUELUCHE,39.0,0.0,0.0
2022-S29,2022-07-24,7,Q3,COQUELUCHE,7.0,0.0,0.0
2022-S30,2022-07-25,7,Q3,COQUELUCHE,37.0,0.0,0.0
2022-S30,2022-07-31,7,Q3,COQUELUCHE,5.0,0.0,0.0
2022-S32,2022-08-08,8,Q3,COQUELUCHE,6.0,0.0,0.0
2022-S32,2022-08-14,8,Q3,COQUELUCHE,6.0,0.0,0.0
2022-S33,2022-08-15,8,Q3,COQUELUCHE,4.0,0.0,0.0
2022-S34,2022-08-22,8,Q3,COQUELUCHE,16.0,0.0,0.0
2022-S34,2022-08-28,8,Q3,COQUELUCHE,1.0,0.0,0.0
2022-S35,2022-08-29,8,Q3,COQUELUCHE,31.0,0.0,0.0
2022-S36,2022-09-05,9,Q3,COQUELUCHE,49.0,0.0,0.0
2022-S37,2022-09-18,9,Q3,COQUELUCHE,1.0,0.0,0.0
2022-S38,2022-09-19,9,Q3,COQUELUCHE,16.0,0.0,0.0
2022-S38,2022-09-25,9,Q3,COQUELUCHE,5.0,0.0,0.0
2022-S39,2022-09-26,9,Q3,COQUELUCHE,12.0,1.0,8.33
2022-S39,2022-10-01,10,Q4,COQUELUCHE,28.0,0.0,0.0
2022-S40,2022-10-07,10,Q4,COQUELUCHE,5.0,0.0,0.0
2022-S44,2022-11-04,11,Q4,COQUELUCHE,35.0,0.0,0.0
2022-S45,2022-11-07,11,Q4,COQUELUCHE,6.0,0.0,0.0
2022-S45,2022-11-09,11,Q4,COQUELUCHE,11.0,0.0,0.0
2022-S49,2022-12-05,12,Q4,COQUELUCHE,1.0,0.0,0.0
2022-S49,2022-12-09,12,Q4,COQUELUCHE,7.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,COQUELUCHE,1.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,COQUELUCHE,15.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,COQUELUCHE,29.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,COQUELUCHE,21.5,0.0,0.0
2023-S05,2023-01-30,1,Q1,COQUELUCHE,14.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,COQUELUCHE,15.0,0.0,0.0
2023-S06,2023-02-06,2,Q1,COQUELUCHE,1.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,COQUELUCHE,21.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,COQUELUCHE,20.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,COQUELUCHE,28.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,COQUELUCHE,16.0,0.0,0.0
2022-S01,2022-01-03,1,Q1,COVID-19,41.0,0.0,0.0
2022-S01,2022-01-08,1,Q1,COVID-19,595.0,0.0,0.0
2022-S02,2022-01-13,1,Q1,COVID-19,7.0,0.0,0.0
2022-S03,2022-01-17,1,Q1,COVID-19,796.0,3.0,0.38
2022-S03,2022-01-20,1,Q1,COVID-19,4.0,0.0,0.0
2022-S03,2022-01-23,1,Q1,COVID-19,9.0,0.0,0.0
2022-S04,2022-01-24,1,Q1,COVID-19,702.0,2.0,0.28
2022-S04,2022-01-27,1,Q1,COVID-19,20.0,0.0,0.0
2022-S05,2022-01-31,1,Q1,COVID-19,505.0,4.0,0.79
2022-S05,2022-02-05,2,Q1,COVID-19,429.0,0.0,0.0
2022-S06,2022-02-07,2,Q1,COVID-19,4.0,0.0,0.0
2022-S07,2022-02-14,2,Q1,COVID-19,409.0,0.0,0.0
2022-S07,2022-02-17,2,Q1,COVID-19,1.0,0.0,0.0
2022-S08,2022-02-21,2,Q1,COVID-19,406.0,4.0,0.99
2022-S08,2022-02-27,2,Q1,COVID-19,303.5,0.0,0.0
2022-S09,2022-02-28,2,Q1,COVID-19,201.0,1.0,0.5
2022-S09,2022-03-01,3,Q1,COVID-19,2299.0,18.0,0.78
2022-S09,2022-03-02,3,Q1,COVID-19,16.0,0.0,0.0
2022-S10,2022-03-10,3,Q1,COVID-19,12.0,0.0,0.0
2022-S11,2022-03-14,3,Q1,COVID-19,379.0,4.0,1.06
2022-S11,2022-03-17,3,Q1,COVID-19,2.0,0.0,0.0
2022-S12,2022-03-21,3,Q1,COVID-19,131.0,9.0,6.87
2022-S13,2022-03-28,3,Q1,COVID-19,143.0,0.0,0.0
2022-S14,2022-04-04,4,Q2,COVID-19,15.0,0.0,0.0
2022-S14,2022-04-07,4,Q2,COVID-19,881.0,0.0,0.0
2022-S15,2022-04-11,4,Q2,COVID-19,2.0,0.0,0.0
2022-S15,2022-04-17,4,Q2,COVID-19,32.5,0.0,0.0
2022-S16,2022-04-18,4,Q2,COVID-19,63.0,0.0,0.0
2022-S17,2022-04-25,4,Q2,COVID-19,440.0,0.0,0.0
2022-S18,2022-05-06,5,Q2,COVID-19,1.0,0.0,0.0
2022-S19,2022-05-09,5,Q2,COVID-19,446.0,2.0,0.45
2022-S20,2022-05-16,5,Q2,COVID-19,736.0,0.0,0.0
2022-S21,2022-05-23,5,Q2,COVID-19,946.0,0.0,0.0
2022-S21,2022-05-29,5,Q2,COVID-19,3.0,0.0,0.0
2022-S22,2022-05-30,5,Q2,COVID-19,1395.0,1.0,0.07
2022-S22,2022-05-31,5,Q2,COVID-19,957.5,0.0,0.0
2022-S22,2022-06-05,6,Q2,COVID-19,520.0,0.0,0.0
2022-S23,2022-06-06,6,Q2,COVID-19,60.0,0.0,0.0
2022-S23,2022-06-09,6,Q2,COVID-19,725.5,0.0,0.0
2022-S24,2022-06-13,6,Q2,COVID-19,1391.0,1.0,0.07
2022-S24,2022-06-19,6,Q2,COVID-19,2.0,0.0,0.0
2022-S25,2022-06-20,6,Q2,COVID-19,798.0,2.0,0.25
2022-S26,2022-06-27,6,Q2,COVID-19,311.0,0.0,0.0
2022-S26,2022-07-02,7,Q3,COVID-19,624.0,0.0,0.0
2022-S26,2022-07-03,7,Q3,COVID-19,209.0,0.0,0.0
2022-S29,2022-07-18,7,Q3,COVID-19,811.0,0.0,0.0
2022-S30,2022-07-25,7,Q3,COVID-19,995.0,1.0,0.1
2022-S31,2022-08-01,8,Q3,COVID-19,3.0,0.0,0.0
2022-S32,2022-08-08,8,Q3,COVID-19,700.0,4.0,0.57
2022-S33,2022-08-15,8,Q3,COVID-19,677.0,0.0,0.0
2022-S34,2022-08-22,8,Q3,COVID-19,761.0,2.0,0.26
2022-S35,2022-08-29,8,Q3,COVID-19,326.0,2.0,0.61
2022-S36,2022-09-05,9,Q3,COVID-19,338.0,1.0,0.3
2022-S38,2022-09-19,9,Q3,COVID-19,725.0,0.0,0.0
2022-S39,2022-09-26,9,Q3,COVID-19,1189.0,0.0,0.0
