Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S01,2023-01-02,1,Q1,COQUELUCHE,1.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,COQUELUCHE,15.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,COQUELUCHE,29.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,COQUELUCHE,21.5,0.0,0.0
2023-S05,2023-01-30,1,Q1,COQUELUCHE,14.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,COQUELUCHE,15.0,0.0,0.0
2023-S06,2023-02-06,2,Q1,COQUELUCHE,1.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,COQUELUCHE,21.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,COQUELUCHE,20.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,COQUELUCHE,28.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,COQUELUCHE,16.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,COVID-19,1.0,0.0,0.0
2023-S02,2023-01-09,1,Q1,COVID-19,302.5,0.0,0.0
2023-S03,2023-01-16,1,Q1,COVID-19,604.0,0.0,0.0
2023-S03,2023-01-17,1,Q1,COVID-19,20.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,COVID-19,386.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,COVID-19,462.5,0.0,0.0
2023-S05,2023-01-30,1,Q1,COVID-19,539.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,COVID-19,701.0,1.0,0.14
2023-S06,2023-02-06,2,Q1,COVID-19,2.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,COVID-19,734.0,1.0,0.14
2023-S08,2023-02-20,2,Q1,COVID-19,596.0,0.0,0.0
2023-S08,2023-02-23,2,Q1,COVID-19,26.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,COVID-19,570.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,COVID-19,587.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Choléra,0.0,20.5,0.0
2023-S02,2023-01-09,1,Q1,Choléra,0.0,16.1,0.0
2023-S03,2023-01-16,1,Q1,Choléra,625.0,11.8,1.89
2023-S04,2023-01-23,1,Q1,Choléra,552.0,5.300000000000001,0.96
2023-S04,2023-01-26,1,Q1,Choléra,1.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Choléra,1063.0,4.0,0.38
2023-S05,2023-02-01,2,Q1,Choléra,1191.0,6.0,0.5
2023-S06,2023-02-06,2,Q1,Choléra,255.0,1.0,0.39
2023-S07,2023-02-13,2,Q1,Choléra,595.0,10.5,1.76
2023-S07,2023-02-16,2,Q1,Choléra,12.0,4.0,33.33
2023-S08,2023-02-20,2,Q1,Choléra,271.0,23.5,8.67
2023-S22,2023-06-02,6,Q2,Choléra,186.0,2.0,1.08
2023-S35,2023-09-01,9,Q3,Choléra,688.0,3.0,0.44
2023-S35,2023-09-02,9,Q3,Choléra,1.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,DECES MATERNELS,102.0,2.9,2.84
2023-S02,2023-01-09,1,Q1,DECES MATERNELS,4.0,3.0,75.0
