MALADIE,DEBUTSEM,PROVINCE,ZONE_SANTE,POP,TOTALCAS,TOTALDECES,LETAL,ATTAQ
Diarr Sanglante,2023-01-01,Lomami,Kabinda,213751.0,1.0,0.0,0.0,0.47
Diarr Sanglante,2023-01-01,Lomami,Kalonda Est,308265.0,14.0,0.0,0.0,4.54
Diarr Sanglante,2023-01-01,Lomami,Kamiji,75408.0,1.0,0.0,0.0,1.33
Diarrhee Dhy M5,2023-01-01,Lomami,Kabinda,213751.0,13.0,0.0,0.0,6.08
Diarrhee Dhy M5,2023-01-01,Lomami,Kalambayi Kaban,121642.0,4.0,0.0,0.0,3.29
Diarrhee Dhy M5,2023-01-01,Lomami,Kalonda Est,308265.0,60.0,0.0,0.0,19.46
Diarrhee Dhy M5,2023-01-01,Lomami,Kamiji,75408.0,10.0,0.0,0.0,13.26
Diarrhee Dhy M5,2023-01-01,Lomami,Lubao,160402.0,47.0,0.0,0.0,29.3
Diarrhee Dhy M5,2023-01-01,Lomami,Luputa,225083.0,7.0,0.0,0.0,3.11
Diarrhee Dhy M5,2023-01-01,Lomami,Makota,182300.0,56.0,0.0,0.0,30.72
Diarrhee Dhy M5,2023-01-01,Lomami,Muene Ditu,328500.0,23.0,0.0,0.0,7.0
Diarrhee Dhy M5,2023-01-01,Lomami,Mulumba,223190.0,17.0,0.0,0.0,7.62
Diarrhee Dhy M5,2023-01-01,Lomami,Wikong,92196.0,68.0,0.0,0.0,73.76
Fievre Typhoide,2023-01-01,Lomami,Kalambayi Kaban,121642.0,61.0,0.0,0.0,50.15
Fievre Typhoide,2023-01-01,Lomami,Kalenda,181139.0,39.0,0.0,0.0,21.53
Fievre Typhoide,2023-01-01,Lomami,Kamiji,75408.0,42.0,0.0,0.0,55.7
Fievre Typhoide,2023-01-01,Lomami,Kanda Kanda,181139.0,77.0,0.0,0.0,42.51
Fievre Typhoide,2023-01-01,Lomami,Ludimbi Lukula,133413.0,7.0,0.0,0.0,5.25
Fievre Typhoide,2023-01-01,Lomami,Luputa,225083.0,101.0,0.0,0.0,44.87
Fievre Typhoide,2023-01-01,Lomami,Makota,182300.0,129.0,0.0,0.0,70.76
Fievre Typhoide,2023-01-01,Lomami,Muene Ditu,328500.0,97.0,0.0,0.0,29.53
Fievre Typhoide,2023-01-01,Lomami,Mulumba,223190.0,128.0,0.0,0.0,57.35
Fievre Typhoide,2023-01-01,Lomami,Ngandajika,241883.0,162.0,0.0,0.0,66.97
Fievre Typhoide,2023-01-01,Lomami,Tshofa,104499.0,11.0,0.0,0.0,10.53
Grippe,2023-01-01,Lomami,Kamiji,75408.0,47.0,0.0,0.0,62.33
Grippe,2023-01-01,Lomami,Kanda Kanda,181139.0,41.0,0.0,0.0,22.63
Grippe,2023-01-01,Lomami,Lubao,160402.0,47.0,0.0,0.0,29.3
Grippe,2023-01-01,Lomami,Luputa,225083.0,0.0,1.0,0.0,0.0
Grippe,2023-01-01,Lomami,Makota,182300.0,124.0,0.0,0.0,68.02
Grippe,2023-01-01,Lomami,Muene Ditu,328500.0,403.0,0.0,0.0,122.68
Grippe,2023-01-01,Lomami,Mulumba,223190.0,550.0,0.0,0.0,246.43
Grippe,2023-01-01,Lomami,Tshofa,104499.0,7.0,0.0,0.0,6.7
Grippe,2023-01-01,Lomami,Wikong,92196.0,19.0,0.0,0.0,20.61
Ira,2023-01-01,Lomami,Kabinda,213751.0,440.0,0.0,0.0,205.85
Ira,2023-01-01,Lomami,Kalambayi Kaban,121642.0,513.0,0.0,0.0,421.73
Ira,2023-01-01,Lomami,Kalenda,181139.0,314.0,0.0,0.0,173.35
Ira,2023-01-01,Lomami,Kalonda Est,308265.0,586.0,0.0,0.0,190.1
Ira,2023-01-01,Lomami,Kamiji,75408.0,68.0,0.0,0.0,90.18
Ira,2023-01-01,Lomami,Kanda Kanda,181139.0,102.0,0.0,0.0,56.31
Ira,2023-01-01,Lomami,Lubao,160402.0,143.0,0.0,0.0,89.15
Ira,2023-01-01,Lomami,Ludimbi Lukula,133413.0,290.0,0.0,0.0,217.37
Ira,2023-01-01,Lomami,Luputa,225083.0,363.0,0.0,0.0,161.27
Ira,2023-01-01,Lomami,Makota,182300.0,271.0,0.0,0.0,148.66
Ira,2023-01-01,Lomami,Muene Ditu,328500.0,242.0,0.0,0.0,73.67
Ira,2023-01-01,Lomami,Mulumba,223190.0,134.0,0.0,0.0,60.04
Ira,2023-01-01,Lomami,Ngandajika,241883.0,539.0,0.0,0.0,222.84
Ira,2023-01-01,Lomami,Tshofa,104499.0,244.0,0.0,0.0,233.5
Ira,2023-01-01,Lomami,Wikong,92196.0,347.0,0.0,0.0,376.37
Meningite,2023-01-01,Lomami,Kabinda,213751.0,2.0,0.0,0.0,0.94
