feature,TOTALCAS,TOTALDECES,POP,C011MOIS,D011MOIS,C1259MOIS,D1259MOIS,C515ANS,D515ANS,CP15ANS,DP15ANS
TOTALCAS,1.0,-0.012171215032665198,0.10912929824721251,0.6836205536050747,0.09722198364876412,0.7652238463891678,0.1068184219154316,0.7974855411462873,0.02103917289031845,0.7479728284029141,0.03096914894441448
TOTALDECES,-0.012171215032665198,1.0,0.0017574164882001517,0.15820673594388973,0.055189277973257685,0.04073567011333604,0.03158036506953196,0.018591923626393204,0.03684793523307522,0.16467861107150755,0.0639754129721154
POP,0.10912929824721251,0.0017574164882001517,1.0,0.12941805551088817,0.0015103814034785423,0.1182718025277766,0.008444133569572448,0.04419420862773277,0.0015963222928401949,0.11727932003993273,0.005035571900649966
C011MOIS,0.6836205536050747,0.15820673594388973,0.12941805551088817,1.0,0.1579665822522301,0.8516969011070179,0.14316770648551497,0.2635504527711534,0.022967819894127346,0.6725987331667324,0.03962032010247904
D011MOIS,0.09722198364876412,0.055189277973257685,0.0015103814034785423,0.1579665822522301,1.0,0.15204276102756806,0.26013321642082243,0.033953830300583965,0.04064055121275527,0.07771910276881154,0.08793162143100024
C1259MOIS,0.7652238463891678,0.04073567011333604,0.1182718025277766,0.8516969011070179,0.15204276102756806,1.0,0.16923561260384998,0.2948121381135569,0.029849252338070748,0.7512663556534056,0.03835504109531326
D1259MOIS,0.1068184219154316,0.03158036506953196,0.008444133569572448,0.14316770648551497,0.26013321642082243,0.16923561260384998,1.0,0.03692034706540453,0.06049302742878149,0.07786756614380638,0.06803365452490806
C515ANS,0.7974855411462873,0.018591923626393204,0.04419420862773277,0.2635504527711534,0.033953830300583965,0.2948121381135569,0.03692034706540453,1.0,0.009272714498499085,0.3009448273207922,0.01394568183076092
D515ANS,0.02103917289031845,0.03684793523307522,0.0015963222928401949,0.022967819894127346,0.04064055121275527,0.029849252338070748,0.06049302742878149,0.009272714498499085,1.0,0.016208921339939956,0.03210296072484621
CP15ANS,0.7479728284029141,0.16467861107150755,0.11727932003993273,0.6725987331667324,0.07771910276881154,0.7512663556534056,0.07786756614380638,0.3009448273207922,0.016208921339939956,1.0,0.047303437397975795
DP15ANS,0.03096914894441448,0.0639754129721154,0.005035571900649966,0.03962032010247904,0.08793162143100024,0.03835504109531326,0.06803365452490806,0.01394568183076092,0.03210296072484621,0.047303437397975795,1.0
