Date_debut,Total_cas
2021-01-14,829.0
2022-01-01,2.0
2022-01-03,55582.0
2022-01-04,26.0
2022-01-05,46540.0
2022-01-08,604378.0
2022-01-09,23877.0
2022-01-13,18916.0
2022-01-14,16724.0
2022-01-16,1905.0
2022-01-17,593979.0
2022-01-20,18585.0
2022-01-23,40557.0
2022-01-24,596360.0
2022-01-26,4936.0
2022-01-27,21612.0
2022-01-28,240.0
2022-01-30,4087.0
2022-01-31,676698.0
2022-02-02,26269.0
2022-02-03,27130.0
2022-02-05,710676.0
2022-02-06,22972.0
2022-02-07,18700.0
2022-02-08,35281.0
2022-02-10,8072.0
2022-02-13,7077.0
2022-02-14,686947.0
2022-02-17,26269.0
2022-02-20,7161.0
2022-02-21,605442.0
2022-02-22,40561.0
2022-02-24,24980.0
2022-02-27,28710.5
2022-02-28,660679.0
2022-03-01,567151.0
2022-03-02,21500.0
2022-03-03,1.0
2022-03-04,42114.0
2022-03-05,30668.0
2022-03-07,109853.0
2022-03-08,29861.0
2022-03-10,609760.0
2022-03-14,731622.0
2022-03-17,21370.0
2022-03-21,680294.0
2022-03-24,28645.0
2022-03-27,7234.0
2022-03-28,689052.0
2022-03-29,297.0
2022-03-30,2.0
2022-03-31,22631.0
2022-04-01,48779.0
2022-04-04,646851.0
2022-04-05,31763.0
2022-04-07,727598.0
2022-04-09,50431.0
2022-04-10,50458.0
2022-04-11,32175.0
2022-04-14,66523.0
2022-04-17,98231.5
2022-04-18,639016.0
2022-04-21,31030.0
2022-04-24,8185.0
2022-04-25,883021.0
2022-04-28,26275.0
2022-05-05,1871.0
2022-05-06,48870.0
2022-05-07,1266.0
2022-05-09,598350.0
2022-05-10,30620.0
2022-05-15,7437.0
2022-05-16,775148.0
2022-05-20,27928.0
2022-05-22,49250.0
2022-05-23,725165.0
2022-05-26,25384.0
2022-05-29,50706.0
2022-05-30,725129.0
2022-05-31,2119.5
2022-06-02,5593.0
2022-06-03,5751.0
2022-06-05,105254.0
2022-06-06,654578.0
2022-06-09,104091.5
2022-06-13,784183.0
2022-06-16,33806.0
2022-06-19,37442.0
2022-06-20,710696.0
2022-06-21,55091.5
2022-06-23,29865.0
2022-06-26,46872.0
2022-06-27,668527.0
2022-06-28,54225.0
2022-06-29,30249.0
2022-07-02,674577.0
2022-07-03,679428.0
2022-07-04,26798.0
2022-07-07,28048.0
2022-07-08,55388.0
2022-07-09,31941.0
2022-07-11,22754.0
2022-07-14,35077.0
2022-07-17,49677.0
2022-07-18,765633.3333333334
2022-07-19,401.0
2022-07-20,516.0
2022-07-21,26629.0
2022-07-24,45003.0
2022-07-25,728917.6666666666
2022-07-26,3365.0
2022-07-28,34140.0
2022-07-31,42694.0
2022-08-01,56115.0
2022-08-05,8112.0
2022-08-08,657252.5
2022-08-09,110.0
2022-08-14,55497.0
2022-08-15,708525.0
2022-08-16,1110.0
2022-08-18,28680.0
2022-08-21,64634.0
2022-08-22,668634.5
2022-08-24,35033.0
2022-08-25,835.0
2022-08-28,76286.0
2022-08-29,720847.0
2022-09-01,1741.0
2022-09-05,805086.0
2022-09-06,29095.0
2022-09-08,98760.0
2022-09-10,7647.0
2022-09-13,51635.0
2022-09-15,35216.0
2022-09-18,49500.0
2022-09-19,743803.5
2022-09-22,36107.0
2022-09-25,106969.0
2022-09-26,641755.0
2022-09-29,96067.0
2022-10-01,493509.0
2022-10-02,23879.0
2022-10-03,128974.0
2022-10-04,63998.0
2022-10-06,37513.5
2022-10-07,50703.0
2022-10-13,30090.0
2022-11-01,47800.0
2022-11-04,620955.0
2022-11-07,718632.5
2022-11-09,85490.0
2022-12-05,30593.0
2022-12-06,51279.0
2022-12-09,637387.0
2023-01-01,32661.0
2023-01-02,125195.33333333334
2023-01-09,129839.16666666667
2023-01-16,857521.0
2023-01-17,59049.0
2023-01-19,30241.0
2023-01-22,55363.0
2023-01-23,821858.0
2023-01-24,34405.0
2023-01-26,34516.0
2023-01-29,12915.5
2023-01-30,855175.0
2023-02-01,782739.5
2023-02-06,78801.0
2023-02-13,876335.0
2023-02-16,29740.0
2023-02-20,740444.0
2023-02-22,32680.0
2023-02-23,56600.0
2023-06-02,798293.0
2023-07-01,22672.0
2023-09-01,735990.0
2023-09-02,31514.0
2023-12-01,30762.0
2023-12-02,432.0
