Maladie,Feature,Importance
COQUELUCHE,lag_4,0.19141812399928534
COQUELUCHE,week_rank,0.14605949091304385
COQUELUCHE,ma_4,0.10446844307903917
COQUELUCHE,volatility_4w,0.08816113238155895
COQUELUCHE,lag_3,0.07974344952638736
COQUELUCHE,ma_2,0.07884463109642018
COVID-19,week_rank,0.15741859826287052
COVID-19,ma_2,0.1365386023601797
COVID-19,trend,0.10615619466413977
COVID-19,lag_3,0.10434341910595779
COVID-19,lag_4,0.09961366063329902
COVID-19,lag_1,0.0947687634039793
COVID-19,ma_3,0.08162226406800592
COVID-19,ma_4,0.07487237201385288
Choléra,week_rank,0.1496893826867986
Choléra,trend,0.13340257588458718
Choléra,lag_3,0.11420554585170634
Choléra,ma_4,0.10552602468945878
Choléra,volatility_4w,0.08903731536794085
Choléra,lag_2,0.0856933476452281
Choléra,ma_2,0.08390763894892926
DECES MATERNELS,ma_4,0.1539011257733659
DECES MATERNELS,week_rank,0.1199918067790788
DECES MATERNELS,volatility_4w,0.10595142357935686
DECES MATERNELS,ma_3,0.09359182484509183
DECES MATERNELS,ma_2,0.08948446403500576
DECES MATERNELS,growth_rate,0.0877704350947303
DECES MATERNELS,trend,0.08403489452160563
Diarrhée aqueuse,lag_2,0.1453606719260866
Diarrhée aqueuse,ma_2,0.12912343125461268
Diarrhée aqueuse,week_rank,0.11716535537418046
Diarrhée aqueuse,lag_1,0.11682268342920357
Diarrhée aqueuse,volatility_4w,0.08589070954072406
Diarrhée aqueuse,trend,0.08214702004786113
Diarrhée aqueuse,lag_4,0.07901888850441552
Diarrhée sanglante,ma_2,0.1646270744409553
Diarrhée sanglante,lag_3,0.11223654359571215
Diarrhée sanglante,week_rank,0.10053068251477285
Diarrhée sanglante,trend,0.09003696888486519
Diarrhée sanglante,lag_4,0.0891665565019052
Diarrhée sanglante,lag_2,0.08461170219015361
Diarrhée sanglante,ma_4,0.07579719567780628
FIEVRE JAUNE,week_rank,0.1547345374003727
FIEVRE JAUNE,lag_4,0.11836884052536115
FIEVRE JAUNE,ma_4,0.10792749325996959
FIEVRE JAUNE,volatility_4w,0.10394153187698682
FIEVRE JAUNE,trend,0.0844879838420784
FIEVRE JAUNE,ma_3,0.07950913778431855
FIEVRE JAUNE,lag_3,0.07389568940115786
Fièvre typhoïde,ma_2,0.22642136681935207
Fièvre typhoïde,lag_4,0.1440740773079294
Fièvre typhoïde,week_rank,0.10824361822830107
Fièvre typhoïde,lag_2,0.09457036057765246
Fièvre typhoïde,growth_rate,0.08025181540845724
Grippe,ma_2,0.20184158093783486
Grippe,week_rank,0.1303837488559909
Grippe,lag_4,0.12872443629168412
Grippe,lag_3,0.09078744209169885
Grippe,trend,0.09056542001596896
Infection respiratoire aiguë,ma_2,0.1748673222365683
Infection respiratoire aiguë,lag_4,0.12109425842676394
Infection respiratoire aiguë,lag_2,0.11163977205991289
Infection respiratoire aiguë,week_rank,0.09789616288403427
Infection respiratoire aiguë,lag_1,0.08408864875932148
Infection respiratoire aiguë,growth_rate,0.0742280975046813
MAPI GRAVES,growth_rate,0.18698345894318352
MAPI GRAVES,week_rank,0.17128975249624265
MAPI GRAVES,lag_4,0.10670338809328198
MAPI GRAVES,volatility_4w,0.08958009103609342
MAPI GRAVES,ma_4,0.08235515414321187
MAPI GRAVES,lag_1,0.07810321971097578
MAPI GRAVES,ma_2,0.07699619223687869
MAPI GRAVES,trend,0.07661843123133555
MAPI LEGERES,week_rank,0.14387186671127083
MAPI LEGERES,lag_3,0.1220261437277004
MAPI LEGERES,trend,0.12079513211590492
MAPI LEGERES,volatility_4w,0.1057056780653767
MAPI LEGERES,lag_2,0.10151732906507809
MAPI LEGERES,lag_1,0.0885911408581165
MAPI LEGERES,lag_4,0.07902256610769791
Monkeypox,lag_3,0.12759063670256135
Monkeypox,lag_4,0.11215516805168882
Monkeypox,trend,0.10887011105153463
Monkeypox,lag_1,0.10859225159231346
Monkeypox,ma_4,0.10644666808572316
Monkeypox,growth_rate,0.083793378802927
Monkeypox,volatility_4w,0.08281244304866531
Monkeypox,week_rank,0.07557701408065991
Méningite,ma_2,0.20662552691654587
Méningite,lag_3,0.10648926540494756
Méningite,week_rank,0.1031351960494152
Méningite,lag_2,0.08937700250892686
Méningite,ma_4,0.08576454077326348
Méningite,lag_4,0.08522944368793561
PESTE,week_rank,0.3953297702164973
PESTE,lag_3,0.08645701582838035
PESTE,volatility_4w,0.08146426637892415
PESTE,growth_rate,0.06895174393008471
PESTE,trend,0.06856168086675761
PFA,trend,0.2141020358788265
PFA,lag_1,0.11261322894259103
PFA,ma_4,0.10527736604936375
PFA,ma_2,0.0961843108421839
PFA,lag_4,0.07545267879884564
PNEUMONIE,lag_4,0.22563788477934396
PNEUMONIE,ma_4,0.11594103247524347
PNEUMONIE,ma_2,0.10099631267886011
PNEUMONIE,week_rank,0.09681456105825288
PNEUMONIE,lag_3,0.080536586861578
PNEUMONIE,trend,0.07761178402705307
Paludisme (confirmé),lag_1,0.14038160256272905
Paludisme (confirmé),ma_2,0.13918839762945495
Paludisme (confirmé),trend,0.12625546972466437
Paludisme (confirmé),week_rank,0.10505484511808447
Paludisme (confirmé),lag_4,0.08579388445741638
Paludisme (confirmé),lag_2,0.07159706663447576
Paludisme (suspect),ma_2,0.11148162109446018
Paludisme (suspect),volatility_4w,0.10572870481381003
Paludisme (suspect),growth_rate,0.10412439295256233
Paludisme (suspect),lag_4,0.09291221788525675
Paludisme (suspect),lag_3,0.09285855032476902
Paludisme (suspect),trend,0.09266613990904948
Paludisme (suspect),lag_2,0.09119627688461654
Paludisme (suspect),lag_1,0.08765642028582415
Paludisme (suspect),week_rank,0.07945458467162934
RAGE,volatility_4w,0.13938871732799446
RAGE,ma_3,0.12786527649301885
RAGE,ma_2,0.09408821578756657
RAGE,lag_4,0.09210243488991007
RAGE,ma_4,0.08832373154139109
RAGE,week_rank,0.08789366268967001
RAGE,trend,0.08743537401540183
RAGE,lag_3,0.07846217405879784
RAGE,growth_rate,0.07688803512787408
Rougeole,ma_2,0.155362109524727
Rougeole,lag_2,0.13768480807672795
Rougeole,week_rank,0.11273990745376661
Rougeole,lag_4,0.09162045362985032
Rougeole,lag_3,0.08228265719205888
Rougeole,volatility_4w,0.07729238157375479
TETANOS MATERNE,week_rank,0.1424445980402528
TETANOS MATERNE,ma_4,0.13499898505195826
TETANOS MATERNE,lag_4,0.12941975148559587
TETANOS MATERNE,ma_3,0.09994937562710465
TETANOS MATERNE,volatility_4w,0.09733331025309122
TETANOS MATERNE,month,0.08271235513392002
TETANOS MATERNE,growth_rate,0.07987886019154805
TNN,volatility_4w,0.13339394525343184
TNN,ma_3,0.12641750039276625
TNN,trend,0.11970472533687408
TNN,week_rank,0.11645238327867415
TNN,ma_2,0.10197000649854386
TNN,lag_3,0.09135241586966654
