Maladie,Meilleur Modèle,R² (Best),MAE (Best),RMSE (Best),MAPE (Best),CV R²,CV MAE (log),Total cas,Semaines,Seuils confusion,R² (Random Forest),R² (Gradient Boosting),R² (Ridge Regression),R² (KNN)
COQUELUCHE,SVR,0.672,4.42,5.11,40.6,0.562,0.5005,1984.5,72,8.84 | 16.15,0.768,0.781,0.606,0.262
COVID-19,Gradient Boosting,0.906,57.59,83.01,21.3,0.765,0.6459,32547.0,72,362.79 | 592.87,0.98,0.982,0.596,0.502
Choléra,Gradient Boosting,0.736,96.74,151.24,28.6,0.813,0.5146,16310.0,91,79.27 | 355.95,0.813,0.895,0.519,0.428
DECES MATERNELS,Gradient Boosting,0.439,17.39,28.83,40.7,0.857,0.3082,2093.5,127,2.00 | 29.88,0.588,0.642,0.297,0.496
Diarrhée aqueuse,Gradient Boosting,0.939,577.12,1115.01,48.7,0.873,0.3984,470188.0,153,340.32 | 6984.99,0.881,0.936,0.687,0.607
Diarrhée sanglante,Gradient Boosting,0.98,29.62,42.93,19.1,0.9,0.4016,34181.0,141,13.01 | 520.28,0.971,0.984,0.872,0.782
FHA,Ridge Regression,0.72,0.14,0.2,9.0,0.57,0.0901,40.0,27,1.00 | 1.00,0.0,0.458,0.762,0.0
FIEVRE JAUNE,SVR,0.882,1.38,2.32,13.9,0.9,0.2022,794.0,96,4.22 | 11.89,0.8,0.868,0.886,0.764
Fièvre typhoïde,Gradient Boosting,0.953,2005.33,3621.55,48.2,0.884,0.4082,1686560.0,162,889.39 | 10573.69,0.908,0.951,0.716,0.727
Grippe,Gradient Boosting,0.953,2556.73,4148.6,29.9,0.905,0.3537,1890454.0,164,1306.23 | 14213.97,0.939,0.94,0.695,0.741
Infection respiratoire aiguë,Gradient Boosting,0.986,2587.47,4488.38,17.5,0.909,0.2875,4629085.0,167,5190.33 | 17487.00,0.956,0.97,0.774,0.798
MAPI GRAVES,Linear Regression,0.007,0.67,0.77,29.0,0.119,0.3839,51.0,25,0.85 | 1.89,0.0,0.0,0.273,0.0
MAPI LEGERES,Random Forest,0.823,21.6,31.1,38.6,0.659,0.5242,4995.0,69,17.02 | 140.93,0.867,0.841,0.64,0.77
Monkeypox,SVR,0.808,16.18,25.32,30.0,0.732,0.5705,4718.0,87,16.23 | 126.00,0.833,0.839,0.883,0.795
Méningite,Gradient Boosting,0.8,14.19,29.14,26.0,0.908,0.3101,6264.0,152,5.67 | 30.21,0.886,0.927,0.741,0.688
PESTE,Linear Regression,0.0,0.75,0.87,36.5,0.069,0.5773,627.5,36,0.36 | 1.18,0.0,0.0,0.0,0.0
PFA,Gradient Boosting,0.957,2.66,3.94,13.0,0.893,0.2699,2852.5,124,2.03 | 28.48,0.939,0.974,0.802,0.596
PNEUMONIE,Random Forest,0.943,889.75,1398.86,36.2,0.814,0.4382,658724.0,144,1117.00 | 3610.00,0.86,0.758,0.646,0.572
Paludisme (confirmé),Gradient Boosting,0.975,9038.05,16831.38,32.0,0.708,0.5689,11489930.0,165,9918.07 | 89412.00,0.876,0.944,0.745,0.406
Paludisme (suspect),Gradient Boosting,0.967,15896.08,27730.5,13.1,0.876,0.3368,16518147.0,159,16244.00 | 271860.00,0.97,0.986,0.819,0.805
RAGE,Ridge Regression,0.0,4.52,9.35,43.7,0.489,0.3579,282.0,47,2.96 | 5.26,0.739,0.737,0.771,0.645
Rougeole,Gradient Boosting,0.934,239.95,359.35,30.4,0.895,0.4595,137961.0,160,139.00 | 1729.00,0.93,0.953,0.706,0.571
TETANOS MATERNE,Linear Regression,0.865,0.24,0.32,21.2,0.656,0.0908,56.0,37,0.53 | 1.93,0.061,0.149,0.697,0.094
TNN,Gradient Boosting,0.72,2.62,4.42,23.9,0.744,0.2328,484.5,81,2.98 | 7.00,0.582,0.768,0.263,0.6
